n,city,country,status,building,landmark,moved_m,area_m2,old_lat,old_lon,new_lat,new_lon,osm,map
377,Girona,Spain,snapped,Mercat municipal d'Abastaments (public),yes,121,2153,41.9794,2.8214,41.979584,2.822845,https://www.openstreetmap.org/way/583621959,"https://www.google.com/maps/@41.979584,2.822845,200m/data=!3m1!1e3"
378,Lleida,Spain,snapped,Santuari de Santa Teresina (church),yes,364,2409,41.6176,0.62,41.616410,0.615922,https://www.openstreetmap.org/way/107423333,"https://www.google.com/maps/@41.616410,0.615922,200m/data=!3m1!1e3"
379,Castellón de la Plana,Spain,snapped,Estació de Castelló (train station),yes,228,4724,39.9864,-0.0513,39.988289,-0.052328,https://www.openstreetmap.org/way/677424728,"https://www.google.com/maps/@39.988289,-0.052328,200m/data=!3m1!1e3"
380,Logroño,Spain,snapped,"unnamed apartments, 13,632 m²",,251,13632,42.4627,-2.4449,42.461644,-2.447597,https://www.openstreetmap.org/way/93644441,"https://www.google.com/maps/@42.461644,-2.447597,200m/data=!3m1!1e3"
381,Venice,Italy,snapped,"unnamed government, 2,145 m²",yes,133,2145,45.4408,12.3155,45.440541,12.313843,https://www.openstreetmap.org/way/138841328,"https://www.google.com/maps/@45.440541,12.313843,200m/data=!3m1!1e3"
382,Palermo,Italy,snapped,Chiesa di San Giuseppe dei Teatini (church),yes,50,2319,38.1157,13.3615,38.115256,13.361456,https://www.openstreetmap.org/way/424559529,"https://www.google.com/maps/@38.115256,13.361456,200m/data=!3m1!1e3"
383,Catania,Italy,snapped,"unnamed university, 3,910 m²",yes,384,3910,37.5079,15.083,37.508218,15.078676,https://www.openstreetmap.org/way/93661830,"https://www.google.com/maps/@37.508218,15.078676,200m/data=!3m1!1e3"
384,Bari,Italy,snapped,Bari Centrale (train station),yes,178,2371,41.1171,16.8719,41.117949,16.870095,https://www.openstreetmap.org/way/417998837,"https://www.google.com/maps/@41.117949,16.870095,200m/data=!3m1!1e3"
385,Trieste,Italy,snapped,Mercato Comunale Coperto (public),yes,153,2273,45.6495,13.7768,45.649071,13.778666,https://www.openstreetmap.org/way/609823392,"https://www.google.com/maps/@45.649071,13.778666,200m/data=!3m1!1e3"
386,Parma,Italy,snapped,Teatro Regio (theatre),yes,212,3374,44.8015,10.3279,44.803235,10.326805,https://www.openstreetmap.org/way/186277406,"https://www.google.com/maps/@44.803235,10.326805,200m/data=!3m1!1e3"
387,Modena,Italy,snapped,Dipartimento di Economia “Marco Biagi” (university),yes,371,4730,44.6471,10.9252,44.650071,10.923088,https://www.openstreetmap.org/way/167305594,"https://www.google.com/maps/@44.650071,10.923088,200m/data=!3m1!1e3"
388,Reggio Emilia,Italy,snapped,Teatro Municipale Romolo Valli (theatre),yes,265,3919,44.6989,10.6297,44.700969,10.631347,https://www.openstreetmap.org/way/168156606,"https://www.google.com/maps/@44.700969,10.631347,200m/data=!3m1!1e3"
389,Perugia,Italy,snapped,Palazzo dei Priori (public),yes,214,2582,43.1107,12.3908,43.111563,12.388452,https://www.openstreetmap.org/way/84301937,"https://www.google.com/maps/@43.111563,12.388452,200m/data=!3m1!1e3"
390,Ravenna,Italy,snapped,Teatro Dante Alighieri (theatre),yes,221,1837,44.4184,12.2035,44.417482,12.201039,https://www.openstreetmap.org/way/158269489,"https://www.google.com/maps/@44.417482,12.201039,200m/data=!3m1!1e3"
391,Rimini,Italy,snapped,San Giuseppe al Porto (church),yes,348,1067,44.0678,12.5695,44.070927,12.569690,https://www.openstreetmap.org/way/223787661,"https://www.google.com/maps/@44.070927,12.569690,200m/data=!3m1!1e3"
