n,city,country,continent,city_folder,lat,lon,homography_score
673,Kalgoorlie,Australia,Oceania,kalgoorlie,-30.746117,121.466684,0.857
674,Esperance,Australia,Oceania,esperance,-33.859654,121.894211,0.884
675,Broome,Australia,Oceania,broome,-17.960735,122.236485,0.738
681,Busselton,Australia,Oceania,busselton,-33.650817,115.343193,0.899
682,Margaret River,Australia,Oceania,margaret_river,-33.952177,115.071152,0.748
683,Northam,Australia,Oceania,northam,-31.654102,116.672166,0.869
684,Port Hedland,Australia,Oceania,port_hedland,-20.311493,118.608484,0.839
685,Newman,Australia,Oceania,newman,-23.356867,119.732397,0.806
690,Whangārei,New Zealand,Oceania,whangarei,-35.725954,174.324649,0.87
691,Invercargill,New Zealand,Oceania,invercargill,-46.412516,168.352039,0.923
693,Gisborne,New Zealand,Oceania,gisborne,-38.661248,178.017072,0.922
694,Blenheim,New Zealand,Oceania,blenheim,-41.515878,173.959593,0.91
695,Timaru,New Zealand,Oceania,timaru,-44.397026,171.257694,0.878
697,Ashburton,New Zealand,Oceania,ashburton,-43.901922,171.749609,0.872
698,Whanganui,New Zealand,Oceania,whanganui,-39.931066,175.053516,0.75
699,Taupō,New Zealand,Oceania,taupo,-38.686375,176.068743,0.756
700,Masterton,New Zealand,Oceania,masterton,-40.951198,175.658793,0.94
