n,city,country,continent,anchor,lat,lon,terrain_m,poi_alt_m,gnd_radius_m,gnd_height_m,orig_lat,orig_lon,snap_building,snap_dist_m,snap_area_m2,snap_landmark,snap_osm,snap_status
385,Trieste,Italy,Europe,Mercato Comunale Coperto,45.649071,13.778666,18.0,45.0,,,45.6495,13.7768,Mercato Comunale Coperto (public),153,2273,yes,way/609823392,snapped
386,Parma,Italy,Europe,Teatro Regio,44.803235,10.326805,67.0,94.0,,,44.8015,10.3279,Teatro Regio (theatre),212,3374,yes,way/186277406,snapped
387,Modena,Italy,Europe,Dipartimento di Economia “Marco Biagi”,44.650071,10.923088,39.0,66.0,,,44.6471,10.9252,Dipartimento di Economia “Marco Biagi” (university),371,4730,yes,way/167305594,snapped
388,Reggio Emilia,Italy,Europe,Teatro Municipale Romolo Valli,44.700969,10.631347,64.0,91.0,,,44.6989,10.6297,Teatro Municipale Romolo Valli (theatre),265,3919,yes,way/168156606,snapped
389,Perugia,Italy,Europe,Palazzo dei Priori,43.111563,12.388452,483.0,510.0,,,43.1107,12.3908,Palazzo dei Priori (public),214,2582,yes,way/84301937,snapped
390,Ravenna,Italy,Europe,Teatro Dante Alighieri,44.417482,12.201039,9.0,36.0,,,44.4184,12.2035,Teatro Dante Alighieri (theatre),221,1837,yes,way/158269489,snapped
391,Rimini,Italy,Europe,San Giuseppe al Porto,44.070927,12.569690,2.0,29.0,,,44.0678,12.5695,San Giuseppe al Porto (church),348,1067,yes,way/223787661,snapped
392,Ferrara,Italy,Europe,Cattedrale di San Giorgio Martire,44.835588,11.620326,20.0,47.0,,,44.8381,11.6198,Cattedrale di San Giorgio Martire (cathedral),283,4511,yes,way/338822833,snapped
393,Livorno,Italy,Europe,Mercato Centrale,43.549969,10.312598,14.0,41.0,,,43.5485,10.3106,Mercato Centrale (marketplace),230,5722,yes,way/58304991,snapped
394,Pisa,Italy,Europe,Chiesa di Santa Caterina d'Alessandria,43.721146,10.404705,11.0,38.0,,,43.7228,10.4017,Chiesa di Santa Caterina d'Alessandria (church),304,1817,yes,way/95460603,snapped
395,Lucca,Italy,Europe,Palazzo Ducale,43.841252,10.501537,24.0,51.0,,,43.8429,10.5027,Palazzo Ducale (attraction),206,5356,yes,way/180148963,snapped
396,Siena,Italy,Europe,Spedale Santa Maria della Scala,43.316923,11.328241,349.0,376.0,,,43.3188,11.3308,Spedale Santa Maria della Scala (public),294,6542,yes,way/275972216,snapped
397,Arezzo,Italy,Europe,Basilica di San Francesco,43.464439,11.880764,272.0,299.0,,,43.4633,11.8796,Basilica di San Francesco (place of worship),158,1050,yes,way/722162132,snapped
398,Bergamo,Italy,Europe,Ex Palazzetto dello Sport,45.701734,9.678332,258.0,285.0,,,45.6983,9.6773,Ex Palazzetto dello Sport (stadium),391,2076,yes,way/48995243,snapped
399,Brescia,Italy,Europe,Palazzo Bargnani,45.540120,10.213800,153.0,180.0,,,45.5416,10.2118,Palazzo Bargnani (palace),227,1861,yes,way/262896710,snapped
400,Monza,Italy,Europe,Ex Caserma San Paolo,45.585577,9.274796,170.0,197.0,,,45.5845,9.2744,Ex Caserma San Paolo (public),124,2140,yes,way/227144858,snapped
401,Como,Italy,Europe,Como Centro,45.8081,9.0852,215.0,242.0,,,45.8081,9.0852,"unnamed building, 1,873 m²",0,1873,,way/110245933,kept
402,Trento,Italy,Europe,Trento Centro,46.0748,11.1217,196.0,223.0,,,46.0748,11.1217,"unnamed office, 1,714 m²",0,1714,,way/53879679,kept
403,Bolzano,Italy,Europe,Freie Universität Bozen - Libera Università di Bolzano,46.498240,11.350117,266.0,293.0,,,46.4983,11.3548,Freie Universität Bozen - Libera Università di Bolzano (university),359,7119,yes,way/48977942,snapped
404,Vicenza,Italy,Europe,Teatro Comunale,45.548068,11.534022,34.0,61.0,,,45.5455,11.5354,Teatro Comunale (theatre),305,4165,yes,way/225923237,snapped
405,Lecce,Italy,Europe,Cinema Massimo,40.351478,18.174158,51.0,78.0,,,40.3515,18.175,Cinema Massimo (cinema),72,1752,yes,way/299718318,snapped
406,Groningen,Netherlands,Europe,Groningen Centrum,53.2194,6.5665,16.0,43.0,,,53.2194,6.5665,Het Groot Handelshuis (commercial),0,2222,,way/270164745,kept
407,Maastricht,Netherlands,Europe,Maastricht Centrum,50.851835,5.692859,53.0,80.0,,,50.8514,5.691,"unnamed commercial, 6,711 m²",139,6711,,way/276240200,snapped
408,Tilburg,Netherlands,Europe,Tilburg Centrum,51.5555,5.0913,16.0,43.0,,,51.5555,5.0913,"unnamed apartments, 341 m²",0,341,,way/281064053,kept
409,Breda,Netherlands,Europe,Boeimeerflat,51.571063,4.768767,4.0,31.0,,,51.5719,4.7683,Boeimeerflat (apartments),99,1399,,way/267587884,snapped
410,Nijmegen,Netherlands,Europe,Nijmegen Centrum,51.813171,5.836739,14.0,41.0,,,51.8126,5.8372,"unnamed sports centre, 7,187 m²",71,7187,,way/281216441,snapped
411,Arnhem,Netherlands,Europe,Arnhem Centrum,51.984149,5.901353,24.0,51.0,,,51.9851,5.8987,"unnamed train station, 6,786 m²",210,6786,yes,way/498613991,snapped
412,Haarlem,Netherlands,Europe,Vomar,52.390813,4.646568,3.0,30.0,,,52.3874,4.6462,Vomar (retail),381,3470,,way/1410002316,snapped
