n,city,country,status,building,landmark,moved_m,area_m2,old_lat,old_lon,new_lat,new_lon,osm,map
278,Biel/Bienne,Switzerland,kept,"unnamed apartments, 407 m²",,0,407,47.1371,7.2461,47.1371,7.2461,https://www.openstreetmap.org/way/926274065,"https://www.google.com/maps/@47.1371,7.2461,200m/data=!3m1!1e3"
279,Chur,Switzerland,snapped,Rathaus (government),yes,123,902,46.8497,9.5313,46.849017,9.532563,https://www.openstreetmap.org/way/316092000,"https://www.google.com/maps/@46.849017,9.532563,200m/data=!3m1!1e3"
280,Köniz,Switzerland,snapped,VIDMARhallen (building),,197,11070,46.9333,7.4167,46.934976,7.417540,https://www.openstreetmap.org/way/284270145,"https://www.google.com/maps/@46.934976,7.417540,200m/data=!3m1!1e3"
281,La Chaux-de- Fonds,Switzerland,kept,"unnamed industrial, 656 m²",,0,656,47.1,6.8333,47.1,6.8333,https://www.openstreetmap.org/way/49190807,"https://www.google.com/maps/@47.1,6.8333,200m/data=!3m1!1e3"
282,Schaffhausen,Switzerland,snapped,St. Johann (church),yes,115,1637,47.6963,8.6345,47.696447,8.636020,https://www.openstreetmap.org/way/159312646,"https://www.google.com/maps/@47.696447,8.636020,200m/data=!3m1!1e3"
283,Thun,Switzerland,snapped,"unnamed industrial, 2,236 m²",,365,2236,46.7667,7.6333,46.769879,7.632149,https://www.openstreetmap.org/way/465597687,"https://www.google.com/maps/@46.769879,7.632149,200m/data=!3m1!1e3"
284,Borås,Sweden,snapped,"unnamed office, 3,776 m²",,374,3776,57.7333,12.9167,57.730595,12.920426,https://www.openstreetmap.org/way/85127497,"https://www.google.com/maps/@57.730595,12.920426,200m/data=!3m1!1e3"
285,Helsingborg,Sweden,snapped,"unnamed building, 8,247 m²",,260,8247,56.0833,12.75,56.080986,12.749410,https://www.openstreetmap.org/way/1191570224,"https://www.google.com/maps/@56.080986,12.749410,200m/data=!3m1!1e3"
286,Jönköping,Sweden,kept,DB Schenker (warehouse),,0,27802,57.75,14.1667,57.75,14.1667,https://www.openstreetmap.org/way/103722965,"https://www.google.com/maps/@57.75,14.1667,200m/data=!3m1!1e3"
287,Linköping,Sweden,snapped,"unnamed apartments, 471 m²",,380,471,58.4167,15.5833,58.414342,15.588020,https://www.openstreetmap.org/way/205311334,"https://www.google.com/maps/@58.414342,15.588020,200m/data=!3m1!1e3"
288,Norrköping,Sweden,snapped,Victoriaskolan (school),,202,3197,58.5833,16.1667,58.584077,16.169847,https://www.openstreetmap.org/way/101272756,"https://www.google.com/maps/@58.584077,16.169847,200m/data=!3m1!1e3"
289,Drammen,Norway,snapped,"unnamed commercial, 2,411 m²",,44,2411,59.75,10.25,59.750132,10.249251,https://www.openstreetmap.org/way/141546731,"https://www.google.com/maps/@59.750132,10.249251,200m/data=!3m1!1e3"
290,Kristiansand,Norway,snapped,Kristiansand domkirke (cathedral),yes,18,1396,58.1460,7.9948,58.146124,7.994610,https://www.openstreetmap.org/way/173829550,"https://www.google.com/maps/@58.146124,7.994610,200m/data=!3m1!1e3"
291,Espoo,Finland,snapped,Retail Park Finno (retail),,353,7062,60.1667,24.7,60.164888,24.705225,https://www.openstreetmap.org/way/80932003,"https://www.google.com/maps/@60.164888,24.705225,200m/data=!3m1!1e3"
292,Kuopio,Finland,snapped,RIISA - Suomen ortodoksinen kirkkomuseo (commercial),yes,135,1987,62.9,27.6667,62.898795,27.666365,https://www.openstreetmap.org/way/87819398,"https://www.google.com/maps/@62.898795,27.666365,200m/data=!3m1!1e3"
293,Lahti,Finland,snapped,"unnamed school, 5,563 m²",,156,5563,61.0,25.6667,60.998615,25.667157,https://www.openstreetmap.org/way/46652422,"https://www.google.com/maps/@60.998615,25.667157,200m/data=!3m1!1e3"
294,Oulu,Finland,snapped,Kartonkikone BM7 (industrial),,224,28157,65.0,25.4333,64.999795,25.428571,https://www.openstreetmap.org/way/127246195,"https://www.google.com/maps/@64.999795,25.428571,200m/data=!3m1!1e3"
295,Pori,Finland,snapped,"unnamed industrial, 2,793 m²",,113,2793,61.4667,21.75,61.466566,21.747886,https://www.openstreetmap.org/way/473919680,"https://www.google.com/maps/@61.466566,21.747886,200m/data=!3m1!1e3"
296,Tampere,Finland,snapped,Tampereen kauppahalli (retail),yes,167,2626,61.4980,23.7610,61.496949,23.758748,https://www.openstreetmap.org/way/93480494,"https://www.google.com/maps/@61.496949,23.758748,200m/data=!3m1!1e3"
297,Vantaa,Finland,snapped,"unnamed industrial, 21,765 m²",,259,21765,60.3,24.95,60.299128,24.945643,https://www.openstreetmap.org/way/27518483,"https://www.google.com/maps/@60.299128,24.945643,200m/data=!3m1!1e3"
298,Helsingør,Denmark,snapped,Toldkammeret (community centre),yes,102,1317,56.0334,12.6126,56.033908,12.613959,https://www.openstreetmap.org/way/113512834,"https://www.google.com/maps/@56.033908,12.613959,200m/data=!3m1!1e3"
299,Esbjerg,Denmark,kept,"unnamed building, 322 m²",,0,322,55.4667,8.4667,55.4667,8.4667,https://www.openstreetmap.org/way/132442997,"https://www.google.com/maps/@55.4667,8.4667,200m/data=!3m1!1e3"
300,Horsens,Denmark,snapped,Bilka (retail),,358,16600,55.8607,9.8503,55.857669,9.852195,https://www.openstreetmap.org/way/127577174,"https://www.google.com/maps/@55.857669,9.852195,200m/data=!3m1!1e3"
301,Kolding,Denmark,snapped,"unnamed building, 3,350 m²",,182,3350,55.4833,9.5,55.484357,9.502199,https://www.openstreetmap.org/way/106026653,"https://www.google.com/maps/@55.484357,9.502199,200m/data=!3m1!1e3"
302,Randers,Denmark,snapped,"unnamed building, 2,659 m²",,96,2659,56.4667,10.05,56.467549,10.049720,https://www.openstreetmap.org/way/568911820,"https://www.google.com/maps/@56.467549,10.049720,200m/data=!3m1!1e3"
303,Roskilde,Denmark,snapped,"unnamed detached, 432 m²",,21,432,55.65,12.1167,55.650003,12.116373,https://www.openstreetmap.org/way/566720395,"https://www.google.com/maps/@55.650003,12.116373,200m/data=!3m1!1e3"
304,Vejle,Denmark,snapped,Sygehusvaskeriet (building),,374,2737,55.7167,9.55,55.716644,9.544040,https://www.openstreetmap.org/way/41748336,"https://www.google.com/maps/@55.716644,9.544040,200m/data=!3m1!1e3"
305,Cork,Ireland,snapped,City Hall (civic),yes,356,7157,51.9,-8.4667,51.896914,-8.465354,https://www.openstreetmap.org/way/120291202,"https://www.google.com/maps/@51.896914,-8.465354,200m/data=!3m1!1e3"
306,Galway,Ireland,snapped,Aengus House (apartments),,226,1428,53.2667,-9.05,53.268719,-9.050392,https://www.openstreetmap.org/way/163414619,"https://www.google.com/maps/@53.268719,-9.050392,200m/data=!3m1!1e3"
307,Limerick,Ireland,snapped,"unnamed hospital, 2,685 m²",yes,87,2685,52.6667,-8.6333,52.667475,-8.633456,https://www.openstreetmap.org/way/25561063,"https://www.google.com/maps/@52.667475,-8.633456,200m/data=!3m1!1e3"
308,Waterford,Ireland,snapped,Newtown School (secondary) (school),,162,3902,52.25,-7.1,52.251383,-7.100757,https://www.openstreetmap.org/way/44029408,"https://www.google.com/maps/@52.251383,-7.100757,200m/data=!3m1!1e3"
309,Differdange,Luxembourg,snapped,Hôpital Intercommunal Princesse Marie-Astrid (hospital),yes,220,7524,49.5333,5.8833,49.532653,5.886175,https://www.openstreetmap.org/way/25586929,"https://www.google.com/maps/@49.532653,5.886175,200m/data=!3m1!1e3"
310,Dudelange,Luxembourg,snapped,Ancien laminoir de Dudelange (industrial),,254,38209,49.4667,6.0833,49.465573,6.080248,https://www.openstreetmap.org/way/327517165,"https://www.google.com/maps/@49.465573,6.080248,200m/data=!3m1!1e3"
311,Esch-sur-Alzette,Luxembourg,snapped,Monnerecher Scouten (detached),,289,400,49.5333,6.0,49.534114,6.003803,https://www.openstreetmap.org/way/162953871,"https://www.google.com/maps/@49.534114,6.003803,200m/data=!3m1!1e3"
312,Akureyri,Iceland,snapped,Menningarhúsið Hof (arts centre),yes,238,2567,65.6815,-18.0900,65.683357,-18.087414,https://www.openstreetmap.org/way/423897306,"https://www.google.com/maps/@65.683357,-18.087414,200m/data=!3m1!1e3"
313,Reykjavik,Iceland,snapped,Saga Museum (retail),yes,292,750,64.15,-21.95,64.152564,-21.951277,https://www.openstreetmap.org/way/106469186,"https://www.google.com/maps/@64.152564,-21.951277,200m/data=!3m1!1e3"
314,Durrës,Albania,snapped,"unnamed college, 4,516 m²",yes,311,4516,41.3133,19.4457,41.310575,19.444859,https://www.openstreetmap.org/way/750428324,"https://www.google.com/maps/@41.310575,19.444859,200m/data=!3m1!1e3"
315,Shkodër,Albania,snapped,Teatri Migjeni (theatre),yes,84,1756,42.0683,19.5117,42.068894,19.511070,https://www.openstreetmap.org/way/324756972,"https://www.google.com/maps/@42.068894,19.511070,200m/data=!3m1!1e3"
316,Tirana,Albania,kept,"unnamed apartments, 676 m²",,0,676,41.3333,19.8333,41.3333,19.8333,https://www.openstreetmap.org/way/1232992063,"https://www.google.com/maps/@41.3333,19.8333,200m/data=!3m1!1e3"
317,Sarajevo,Bosnia and Herzegovina,snapped,Gazi Husrev-begov bezistan (marketplace),yes,117,2054,43.8590,18.4295,43.858819,18.428070,https://www.openstreetmap.org/way/188836329,"https://www.google.com/maps/@43.858819,18.428070,200m/data=!3m1!1e3"
318,Skopje,North Macedonia,snapped,"unnamed building, 17,336 m²",,304,17336,42.0,21.4833,41.999640,21.479654,https://www.openstreetmap.org/way/37996988,"https://www.google.com/maps/@41.999640,21.479654,200m/data=!3m1!1e3"
319,Limassol,Cyprus,snapped,Μεσαιωνικό Κάστρο Λεμεσού (attraction),yes,85,1219,34.6730,33.0418,34.672249,33.041666,https://www.openstreetmap.org/way/175830695,"https://www.google.com/maps/@34.672249,33.041666,200m/data=!3m1!1e3"
320,Nicosia,Cyprus,snapped,Kaimakli Local Hospital (hospital),yes,150,515,35.1833,33.3833,35.184216,33.382088,https://www.openstreetmap.org/way/489031375,"https://www.google.com/maps/@35.184216,33.382088,200m/data=!3m1!1e3"
321,Brăila,Romania,snapped,"unnamed retail, 2,840 m²",,373,2840,45.2833,27.9667,45.282438,27.971306,https://www.openstreetmap.org/way/91728187,"https://www.google.com/maps/@45.282438,27.971306,200m/data=!3m1!1e3"
322,Craiova,Romania,snapped,"unnamed house, 349 m²",,242,349,44.3,23.7833,44.302079,23.782396,https://www.openstreetmap.org/way/1457834405,"https://www.google.com/maps/@44.302079,23.782396,200m/data=!3m1!1e3"
323,Galați,Romania,snapped,Shopping City Galați (commercial),,289,52010,45.45,28.0333,45.452180,28.031285,https://www.openstreetmap.org/way/249168970,"https://www.google.com/maps/@45.452180,28.031285,200m/data=!3m1!1e3"
324,Iași,Romania,snapped,"unnamed building, 3,115 m²",,86,3115,47.15,27.6333,47.149477,27.634132,https://www.openstreetmap.org/way/216503074,"https://www.google.com/maps/@47.149477,27.634132,200m/data=!3m1!1e3"
325,Cluj-Napoca,Romania,snapped,Kaufland (building),,213,5638,46.7833,23.6167,46.782102,23.614514,https://www.openstreetmap.org/way/154946779,"https://www.google.com/maps/@46.782102,23.614514,200m/data=!3m1!1e3"
326,Constanța,Romania,snapped,Edificiul Roman cu Mozaic (museum),yes,115,2426,44.1737,28.6573,44.173103,28.658472,https://www.openstreetmap.org/way/272823081,"https://www.google.com/maps/@44.173103,28.658472,200m/data=!3m1!1e3"
327,Brașov,Romania,snapped,"unnamed building, 1,239 m²",,211,1239,45.65,25.5833,45.651305,25.585260,https://www.openstreetmap.org/way/272866368,"https://www.google.com/maps/@45.651305,25.585260,200m/data=!3m1!1e3"
328,Timișoara,Romania,snapped,"unnamed building, 7,278 m²",,374,7278,45.75,21.25,45.752728,21.247188,https://www.openstreetmap.org/way/219155285,"https://www.google.com/maps/@45.752728,21.247188,200m/data=!3m1!1e3"
329,Debrecen,Hungary,snapped,"unnamed building, 396 m²",,180,396,47.5,21.6167,47.499248,21.614587,https://www.openstreetmap.org/way/1228574448,"https://www.google.com/maps/@47.499248,21.614587,200m/data=!3m1!1e3"
330,Győr,Hungary,snapped,Glovita Kesztyű Zrt. (building),,227,4444,47.6833,17.6667,47.685205,17.665602,https://www.openstreetmap.org/way/498841987,"https://www.google.com/maps/@47.685205,17.665602,200m/data=!3m1!1e3"
331,Miskolc,Hungary,snapped,"unnamed school, 1,137 m²",,361,1137,48.1167,20.7833,48.117925,20.787792,https://www.openstreetmap.org/way/119136393,"https://www.google.com/maps/@48.117925,20.787792,200m/data=!3m1!1e3"
332,Pécs,Hungary,snapped,Pécsi Nemzeti Színház (public),yes,188,1663,46.0762,18.2283,46.076108,18.230735,https://www.openstreetmap.org/way/225990862,"https://www.google.com/maps/@46.076108,18.230735,200m/data=!3m1!1e3"
333,Szeged,Hungary,snapped,Magyarok Nagyasszonya-székesegyház Dóm (cathedral),yes,139,2592,46.25,20.15,46.248906,20.149138,https://www.openstreetmap.org/way/82422804,"https://www.google.com/maps/@46.248906,20.149138,200m/data=!3m1!1e3"
334,Burgas,Bulgaria,snapped,Летен театър (civic),yes,180,2029,42.5,27.4833,42.498485,27.482533,https://www.openstreetmap.org/way/1127701746,"https://www.google.com/maps/@42.498485,27.482533,200m/data=!3m1!1e3"
