n,city,country,continent,anchor,lat,lon,terrain_m,poi_alt_m,orig_lat,orig_lon,snap_building,snap_dist_m,snap_area_m2,snap_landmark,snap_osm,snap_status,anchor_source
285,Helsingborg,Sweden,Europe,Helsingborg City Center,56.080986,12.749410,49.0,76.0,56.0833,12.75,"unnamed building, 8,247 m²",260,8247,,way/1191570224,snapped,pdf
286,Jönköping,Sweden,Europe,Jönköping City Center,57.75,14.1667,105.0,132.0,57.75,14.1667,DB Schenker (warehouse),0,27802,,way/103722965,kept,pdf
287,Linköping,Sweden,Europe,Linköping City Center,58.414342,15.588020,68.0,95.0,58.4167,15.5833,"unnamed apartments, 471 m²",380,471,,way/205311334,snapped,pdf
288,Norrköping,Sweden,Europe,Victoriaskolan,58.584077,16.169847,38.0,65.0,58.5833,16.1667,Victoriaskolan (school),202,3197,,way/101272756,snapped,pdf
289,Drammen,Norway,Europe,Drammen City Center,59.750132,10.249251,4.0,31.0,59.75,10.25,"unnamed commercial, 2,411 m²",44,2411,,way/141546731,snapped,pdf
290,Kristiansand,Norway,Europe,Kristiansand domkirke,58.146124,7.994610,13.0,40.0,58.1460,7.9948,Kristiansand domkirke (cathedral),18,1396,yes,way/173829550,snapped,handpicked
291,Espoo,Finland,Europe,Retail Park Finno,60.164888,24.705225,16.0,43.0,60.1667,24.7,Retail Park Finno (retail),353,7062,,way/80932003,snapped,pdf
292,Kuopio,Finland,Europe,RIISA - Suomen ortodoksinen kirkkomuseo,62.898795,27.666365,107.0,134.0,62.9,27.6667,RIISA - Suomen ortodoksinen kirkkomuseo (commercial),135,1987,yes,way/87819398,snapped,pdf
293,Lahti,Finland,Europe,Lahti City Center,60.998615,25.667157,143.0,170.0,61.0,25.6667,"unnamed school, 5,563 m²",156,5563,,way/46652422,snapped,pdf
294,Oulu,Finland,Europe,Kartonkikone BM7,64.999795,25.428571,8.0,35.0,65.0,25.4333,Kartonkikone BM7 (industrial),224,28157,,way/127246195,snapped,pdf
295,Pori,Finland,Europe,Pori City Center,61.466566,21.747886,9.0,36.0,61.4667,21.75,"unnamed industrial, 2,793 m²",113,2793,,way/473919680,snapped,pdf
296,Tampere,Finland,Europe,Tampereen kauppahalli,61.496949,23.758748,138.0,165.0,61.4980,23.7610,Tampereen kauppahalli (retail),167,2626,yes,way/93480494,snapped,handpicked
297,Vantaa,Finland,Europe,Vantaa City Center,60.299128,24.945643,52.0,79.0,60.3,24.95,"unnamed industrial, 21,765 m²",259,21765,,way/27518483,snapped,pdf
298,Helsingør,Denmark,Europe,Toldkammeret,56.033908,12.613959,5.0,32.0,56.0334,12.6126,Toldkammeret (community centre),102,1317,yes,way/113512834,snapped,handpicked
299,Esbjerg,Denmark,Europe,Esbjerg City Center,55.4667,8.4667,7.0,34.0,55.4667,8.4667,"unnamed building, 322 m²",0,322,,way/132442997,kept,pdf
300,Horsens,Denmark,Europe,Bilka,55.857669,9.852195,0.0,27.0,55.8607,9.8503,Bilka (retail),358,16600,,way/127577174,snapped,pdf
301,Kolding,Denmark,Europe,Kolding City Center,55.484357,9.502199,23.0,50.0,55.4833,9.5,"unnamed building, 3,350 m²",182,3350,,way/106026653,snapped,pdf
302,Randers,Denmark,Europe,Randers City Center,56.467549,10.049720,29.0,56.0,56.4667,10.05,"unnamed building, 2,659 m²",96,2659,,way/568911820,snapped,pdf
303,Roskilde,Denmark,Europe,Roskilde City Center,55.650003,12.116373,38.0,65.0,55.65,12.1167,"unnamed detached, 432 m²",21,432,,way/566720395,snapped,pdf
304,Vejle,Denmark,Europe,Sygehusvaskeriet,55.716644,9.544040,27.0,54.0,55.7167,9.55,Sygehusvaskeriet (building),374,2737,,way/41748336,snapped,pdf
305,Cork,Ireland,Europe,City Hall,51.896914,-8.465354,9.0,36.0,51.9,-8.4667,City Hall (civic),356,7157,yes,way/120291202,snapped,pdf
306,Galway,Ireland,Europe,Aengus House,53.268719,-9.050392,5.0,32.0,53.2667,-9.05,Aengus House (apartments),226,1428,,way/163414619,snapped,pdf
307,Limerick,Ireland,Europe,Limerick City Center,52.667475,-8.633456,14.0,41.0,52.6667,-8.6333,"unnamed hospital, 2,685 m²",87,2685,yes,way/25561063,snapped,pdf
308,Waterford,Ireland,Europe,Newtown School (secondary),52.251383,-7.100757,20.0,47.0,52.25,-7.1,Newtown School (secondary) (school),162,3902,,way/44029408,snapped,pdf
309,Differdange,Luxembourg,Europe,Hôpital Intercommunal Princesse Marie-Astrid,49.532653,5.886175,317.0,344.0,49.5333,5.8833,Hôpital Intercommunal Princesse Marie-Astrid (hospital),220,7524,yes,way/25586929,snapped,pdf
310,Dudelange,Luxembourg,Europe,Ancien laminoir de Dudelange,49.465573,6.080248,305.0,332.0,49.4667,6.0833,Ancien laminoir de Dudelange (industrial),254,38209,,way/327517165,snapped,pdf
311,Esch-sur-Alzette,Luxembourg,Europe,Monnerecher Scouten,49.534114,6.003803,310.0,337.0,49.5333,6.0,Monnerecher Scouten (detached),289,400,,way/162953871,snapped,pdf
312,Akureyri,Iceland,Europe,Menningarhúsið Hof,65.683357,-18.087414,3.0,30.0,65.6815,-18.0900,Menningarhúsið Hof (arts centre),238,2567,yes,way/423897306,snapped,handpicked
313,Reykjavik,Iceland,Europe,Saga Museum,64.152564,-21.951277,3.0,30.0,64.15,-21.95,Saga Museum (retail),292,750,yes,way/106469186,snapped,pdf
314,Durrës,Albania,Europe,Great Mosque / Amphitheatre,41.310575,19.444859,7.0,34.0,41.3133,19.4457,"unnamed college, 4,516 m²",311,4516,yes,way/750428324,snapped,handpicked
315,Shkodër,Albania,Europe,Teatri Migjeni,42.068894,19.511070,13.0,40.0,42.0683,19.5117,Teatri Migjeni (theatre),84,1756,yes,way/324756972,snapped,handpicked
316,Tirana,Albania,Europe,Tirana City Center,41.3333,19.8333,129.0,156.0,41.3333,19.8333,"unnamed apartments, 676 m²",0,676,,way/1232992063,kept,pdf
317,Sarajevo,Bosnia and Herzegovina,Europe,Gazi Husrev-begov bezistan,43.858819,18.428070,550.0,577.0,43.8590,18.4295,Gazi Husrev-begov bezistan (marketplace),117,2054,yes,way/188836329,snapped,handpicked
318,Skopje,North Macedonia,Europe,Skopje City Center,41.999640,21.479654,245.0,272.0,42.0,21.4833,"unnamed building, 17,336 m²",304,17336,,way/37996988,snapped,pdf
319,Limassol,Cyprus,Europe,Μεσαιωνικό Κάστρο Λεμεσού,34.672249,33.041666,7.0,34.0,34.6730,33.0418,Μεσαιωνικό Κάστρο Λεμεσού (attraction),85,1219,yes,way/175830695,snapped,handpicked
320,Nicosia,Cyprus,Europe,Kaimakli Local Hospital,35.184216,33.382088,131.0,158.0,35.1833,33.3833,Kaimakli Local Hospital (hospital),150,515,yes,way/489031375,snapped,pdf
321,Brăila,Romania,Europe,Brăila City Center,45.282438,27.971306,20.0,47.0,45.2833,27.9667,"unnamed retail, 2,840 m²",373,2840,,way/91728187,snapped,pdf
322,Craiova,Romania,Europe,Craiova City Center,44.302079,23.782396,71.0,98.0,44.3,23.7833,"unnamed house, 349 m²",242,349,,way/1457834405,snapped,pdf
323,Galați,Romania,Europe,Shopping City Galați,45.452180,28.031285,61.0,88.0,45.45,28.0333,Shopping City Galați (commercial),289,52010,,way/249168970,snapped,pdf
324,Iași,Romania,Europe,Iași City Center,47.149477,27.634132,38.0,65.0,47.15,27.6333,"unnamed building, 3,115 m²",86,3115,,way/216503074,snapped,pdf
325,Cluj-Napoca,Romania,Europe,Kaufland,46.782102,23.614514,328.0,355.0,46.7833,23.6167,Kaufland (building),213,5638,,way/154946779,snapped,pdf
326,Constanța,Romania,Europe,Edificiul Roman cu Mozaic,44.173103,28.658472,13.0,40.0,44.1737,28.6573,Edificiul Roman cu Mozaic (museum),115,2426,yes,way/272823081,snapped,handpicked
327,Brașov,Romania,Europe,Brașov City Center,45.651305,25.585260,571.0,598.0,45.65,25.5833,"unnamed building, 1,239 m²",211,1239,,way/272866368,snapped,pdf
328,Timișoara,Romania,Europe,Timișoara City Center,45.752728,21.247188,87.0,114.0,45.75,21.25,"unnamed building, 7,278 m²",374,7278,,way/219155285,snapped,pdf
329,Debrecen,Hungary,Europe,Debrecen City Center,47.499248,21.614587,108.0,135.0,47.5,21.6167,"unnamed building, 396 m²",180,396,,way/1228574448,snapped,pdf
330,Győr,Hungary,Europe,Glovita Kesztyű Zrt.,47.685205,17.665602,116.0,143.0,47.6833,17.6667,Glovita Kesztyű Zrt. (building),227,4444,,way/498841987,snapped,pdf
331,Miskolc,Hungary,Europe,Miskolc City Center,48.117925,20.787792,135.0,162.0,48.1167,20.7833,"unnamed school, 1,137 m²",361,1137,,way/119136393,snapped,pdf
332,Pécs,Hungary,Europe,Pécsi Nemzeti Színház,46.076108,18.230735,156.0,183.0,46.0762,18.2283,Pécsi Nemzeti Színház (public),188,1663,yes,way/225990862,snapped,handpicked
333,Szeged,Hungary,Europe,Magyarok Nagyasszonya-székesegyház Dóm,46.248906,20.149138,85.0,112.0,46.25,20.15,Magyarok Nagyasszonya-székesegyház Dóm (cathedral),139,2592,yes,way/82422804,snapped,pdf
334,Burgas,Bulgaria,Europe,Летен театър,42.498485,27.482533,23.0,50.0,42.5,27.4833,Летен театър (civic),180,2029,yes,way/1127701746,snapped,pdf
335,Plovdiv,Bulgaria,Europe,Plovdiv City Center,42.1333,24.75,165.0,192.0,42.1333,24.75,"unnamed building, 1,711 m²",0,1711,,way/135437982,kept,pdf
336,Ruse,Bulgaria,Europe,Доходното здание,43.847921,25.952547,38.0,65.0,43.8485,25.9545,Доходното здание (building),169,4633,yes,way/212128643,snapped,handpicked
337,Stara Zagora,Bulgaria,Europe,Stara Zagora City Center,42.414960,25.618495,197.0,224.0,42.4167,25.6167,"unnamed building, 6,366 m²",243,6366,,way/891253013,snapped,pdf
