n,city,country,continent,anchor,lat,lon,terrain_m,poi_alt_m,orig_lat,orig_lon,snap_building,snap_dist_m,snap_area_m2,snap_landmark,snap_osm,snap_status,anchor_source
389,Lahore,Pakistan,Asia,کھڑک سنگھ کی حویلی,31.588282,74.315880,221.0,248.0,31.5870,74.3140,کھڑک سنگھ کی حویلی (castle),228,1582,yes,way/604910486,snapped,handpicked
390,Manama,Bahrain,Asia,سوق باب البحرين,26.233298,50.576059,16.0,43.0,26.2345,50.5760,سوق باب البحرين (marketplace),134,8142,yes,way/1361385174,snapped,handpicked
391,Muscat,Oman,Asia,المتحف الوطني,23.611617,58.593602,10.0,37.0,23.6147,58.5945,المتحف الوطني (museum),355,4803,yes,way/269436905,snapped,handpicked
392,Nha Trang,Vietnam,Asia,Nhà Thiếu nhi tỉnh Khánh Hòa,12.248453,109.188067,9.0,36.0,12.2465,109.1880,Nhà Thiếu nhi tỉnh Khánh Hòa (no),218,25400,yes,way/1241549485,snapped,handpicked
393,Petah Tikva,Israel,Asia,מקור חיים,32.085271,34.880590,53.0,80.0,32.087,34.8781,מקור חיים (place of worship),304,500,yes,way/208635328,snapped,pdf
394,Phnom Penh,Cambodia,Asia,អាហារូបករណ៍គ្រីស្ទានអន្តរជាតិ,11.549912,104.918379,12.0,39.0,11.55,104.9167,អាហារូបករណ៍គ្រីស្ទានអន្តរជាតិ (building),183,722,,way/520781284,snapped,pdf
395,Quy Nhon,Vietnam,Asia,Trung tâm Hội nghị tỉnh Bình Định,13.773124,109.221701,7.0,34.0,13.7760,109.2230,Trung tâm Hội nghị tỉnh Bình Định (building),350,5668,,way/157532085,snapped,handpicked
396,Ramat Gan,Israel,Asia,Ramat Gan City Center,32.064477,34.798400,38.0,65.0,32.0667,34.8,"unnamed hospital, 636 m²",290,636,yes,way/198418152,snapped,pdf
397,Rawalpindi,Pakistan,Asia,PTCL,33.593231,73.049578,507.0,534.0,33.5960,73.0510,PTCL (building),335,7487,,way/230173320,snapped,handpicked
398,Sharjah,United Arab Emirates,Asia,Sharjah City Center,25.334972,55.430283,12.0,39.0,25.3333,55.4333,"unnamed building, 3,335 m²",356,3335,,way/1094074471,snapped,pdf
399,Tripoli,Lebanon,Asia,برج السبع,34.449886,35.830624,4.0,31.0,34.45,35.8333,برج السبع (castle),246,566,yes,way/301669700,snapped,pdf
400,Ulaanbaatar,Mongolia,Asia,Төмөр замын их сургууль,47.915852,106.884135,1291.0,1318.0,47.9167,106.8833,Төмөр замын их сургууль (university),113,3407,yes,way/177856640,snapped,pdf
401,Mito,Japan,Asia,Mito City Center,36.3659,140.4712,12.0,39.0,36.3659,140.4712,"unnamed public, 5,349 m²",0,5349,yes,way/664697073,kept,pdf
402,Utsunomiya,Japan,Asia,Utsunomiya City Center,36.5551,139.8828,121.0,148.0,36.5551,139.8828,宇都宮市役所 (townhall),0,5149,yes,way/100466419,kept,pdf
403,Maebashi,Japan,Asia,Maebashi City Center,36.3895,139.0634,116.0,143.0,36.3895,139.0634,前橋市役所 (townhall),0,2856,yes,way/309673298,kept,pdf
404,Takasaki,Japan,Asia,Takasaki City Center,36.3219,139.0033,97.0,124.0,36.3219,139.0033,高崎市役所 (office),0,7634,yes,way/164029666,kept,pdf
405,Kawagoe,Japan,Asia,Kawagoe City Center,35.9251,139.4858,32.0,59.0,35.9251,139.4858,川越市役所 (civic),0,1601,yes,way/222406198,kept,pdf
406,Kawaguchi,Japan,Asia,川口市役所,35.806720,139.723392,4.0,31.0,35.8077,139.7241,川口市役所 (civic),126,2815,yes,way/204523885,snapped,pdf
407,Tokorozawa,Japan,Asia,Tokorozawa City Center,35.7997,139.4686,73.0,100.0,35.7997,139.4686,所沢市役所 (townhall),0,5585,yes,way/160511465,kept,pdf
408,Koshigaya,Japan,Asia,Koshigaya City Center,35.891,139.7909,7.0,34.0,35.891,139.7909,越谷市役所 (public),0,3241,yes,way/611047651,kept,pdf
409,Hirakata,Japan,Asia,ステーションヒル枚方 京阪モール,34.817208,135.650156,12.0,39.0,34.8143,135.6507,ステーションヒル枚方 京阪モール (retail),327,4579,,way/1491390176,snapped,pdf
410,Suita,Japan,Asia,Suita City Center,34.7595,135.5169,4.0,31.0,34.7595,135.5169,低層棟 (government),0,1957,yes,way/310746656,kept,pdf
411,Toyonaka,Japan,Asia,Toyonaka City Center,34.781298,135.469788,30.0,57.0,34.7813,135.469,"unnamed government, 2,719 m²",72,2719,yes,way/268876172,snapped,pdf
412,Akashi,Japan,Asia,Akashi City Center,34.6431,134.9972,8.0,35.0,34.6431,134.9972,"unnamed building, 3,128 m²",0,3128,,way/198009400,kept,pdf
413,Nishinomiya,Japan,Asia,Nishinomiya City Center,34.7377,135.3416,14.0,41.0,34.7377,135.3416,西宮市役所 (government),0,4603,yes,way/158680688,kept,pdf
414,Amagasaki,Japan,Asia,Amagasaki City Center,34.7337,135.4064,16.0,43.0,34.7337,135.4064,南館 (building),0,2361,,way/438360064,kept,pdf
415,Matsue,Japan,Asia,Matsue City Center,35.4681,133.0484,3.0,30.0,35.4681,133.0484,松江役所 本庁舎 本館 (building),0,3389,,way/319666097,kept,pdf
416,Tottori,Japan,Asia,Tottori City Center,35.501734,134.237191,10.0,37.0,35.5011,134.2351,"unnamed building, 6,425 m²",202,6425,,way/398114749,snapped,pdf
417,Yamagata,Japan,Asia,Yamagata City Center,38.2554,140.3396,154.0,181.0,38.2554,140.3396,山形市役所 (townhall),0,5922,yes,way/259225158,kept,pdf
418,Fukushima,Japan,Asia,Fukushima City Center,37.7608,140.4747,69.0,96.0,37.7608,140.4747,庁舎棟 (government),0,3902,yes,way/1561080795,kept,pdf
419,Morioka,Japan,Asia,Morioka City Center,39.7036,141.1527,139.0,166.0,39.7036,141.1527,"unnamed building, 2,157 m²",0,2157,,way/427689928,kept,pdf
420,Aomori,Japan,Asia,青森市役所 本庁舎,40.822612,140.747096,4.0,31.0,40.8221,140.7474,青森市役所 本庁舎 (townhall),63,2507,yes,way/226061848,snapped,pdf
421,Hachinohe,Japan,Asia,Hachinohe City Center,40.5123,141.4884,20.0,47.0,40.5123,141.4884,八戸市庁本館 (townhall),0,2621,yes,way/350786263,kept,pdf
422,Koriyama,Japan,Asia,Koriyama City Center,37.4005,140.3597,253.0,280.0,37.4005,140.3597,郡山市役所 (townhall),0,5264,yes,way/304607141,kept,pdf
423,Iwaki,Japan,Asia,Iwaki City Center,37.0505,140.8877,10.0,37.0,37.0505,140.8877,いわき市役所 (building),0,3512,,way/129282908,kept,pdf
424,Tsukuba,Japan,Asia,Tsukuba City Center,36.0835,140.0764,26.0,53.0,36.0835,140.0764,つくば市役所 (civic),0,5993,yes,way/171243906,kept,pdf
425,Nagaoka,Japan,Asia,Nagaoka City Center,37.4463,138.8513,28.0,55.0,37.4463,138.8513,アオーレ長岡 (townhall),0,11692,yes,way/362496449,kept,pdf
426,Abidjan,Côte d'Ivoire,Africa,Abidjan City Center,5.317842,-4.036138,30.0,57.0,5.3167,-4.0333,"unnamed building, 1,752 m²",339,1752,,way/818644909,snapped,pdf
427,Accra,Ghana,Africa,Accra City Center,5.603221,-0.186457,64.0,91.0,5.6037,-0.187,"unnamed building, 2,173 m²",80,2173,,way/1162633597,snapped,pdf
428,Agadir,Morocco,Africa,Résidence Petit Palace,30.426369,-9.599743,40.0,67.0,30.4278,-9.5981,Résidence Petit Palace (residential),224,1079,,way/575992201,snapped,pdf
429,Algiers,Algeria,Africa,Algiers City Center,36.781148,3.046456,135.0,162.0,36.7833,3.05,"unnamed library, 2,545 m²",397,2545,yes,way/263645886,snapped,pdf
430,Annaba,Algeria,Africa,Palais de la Culture Mohamed Boudiaf,36.902762,7.757296,18.0,45.0,36.9010,7.7560,Palais de la Culture Mohamed Boudiaf (public),228,5127,yes,way/165582436,snapped,handpicked
431,Arusha,Tanzania,Africa,Arusha City Center,-3.385491,36.666984,1352.0,1379.0,-3.3833,36.6667,"unnamed building, 1,051 m²",246,1051,,way/623931661,snapped,pdf
432,Blida,Algeria,Africa,Blida City Center,36.497249,2.833894,187.0,214.0,36.5,2.8333,"unnamed building, 6,934 m²",311,6934,,way/1174137923,snapped,pdf
433,Bouaké,Côte d'Ivoire,Africa,Bouaké City Center,7.697470,-4.999075,350.0,377.0,7.7,-5.0,"unnamed building, 1,869 m²",300,1869,,way/1385620857,snapped,pdf
434,Bulawayo,Zimbabwe,Africa,Bulawayo City Center,-20.168031,28.713256,1384.0,1411.0,-20.1667,28.7167,"unnamed building, 405 m²",389,405,,way/488162856,snapped,pdf
435,Casablanca,Morocco,Africa,Gare Routière Ouled Ziane ⴰⵙⵡⵓⵏⴼⵓ محطة أولاد زيان الحافلات,33.575442,-7.588488,61.0,88.0,33.5731,-7.5898,Gare Routière Ouled Ziane ⴰⵙⵡⵓⵏⴼⵓ محطة أولاد زيان الحافلات (bus station),288,8107,,way/419545012,snapped,pdf
436,Chingola,Zambia,Africa,Chingola City Center,-12.517123,27.883725,1330.0,1357.0,-12.5167,27.8833,"unnamed building, 1,356 m²",66,1356,,way/654905035,snapped,pdf
437,Constantine,Algeria,Africa,Palais de la culture Mohamed Laïd El-Khalifa,36.363854,6.608116,623.0,650.0,36.3655,6.6105,Palais de la culture Mohamed Laïd El-Khalifa (civic),282,2920,yes,way/228968529,snapped,handpicked
438,Dakar,Senegal,Africa,Dakar City Center,14.667488,-17.434858,33.0,60.0,14.6667,-17.4333,"unnamed mosque, 1,639 m²",189,1639,yes,way/248482182,snapped,pdf
439,Daloa,Côte d'Ivoire,Africa,Institut National d'hygiène publique,6.874339,-6.452661,281.0,308.0,6.8770,-6.4510,Institut National d'hygiène publique (hospital),348,2749,yes,way/787115258,snapped,handpicked
440,Dar es Salaam,Tanzania,Africa,The Aga Khan University,-6.799688,39.279857,11.0,38.0,-6.8,39.2833,The Aga Khan University (university),382,1129,yes,way/667397461,snapped,pdf
441,Dodoma,Tanzania,Africa,Dodoma City Center,-6.167895,35.664558,1138.0,1165.0,-6.1667,35.6667,"unnamed building, 372 m²",272,372,,way/841997915,snapped,pdf
442,Entebbe,Uganda,Africa,Entebbe City Center,0.070018,32.451229,1147.0,1174.0,0.0667,32.45,"unnamed building, 483 m²",394,483,,way/825732449,snapped,pdf
443,Fez,Morocco,Africa,Tribunal de Première Instance,34.032173,-4.998068,408.0,435.0,34.0331,-5.0003,Tribunal de Première Instance (courthouse),230,4093,yes,way/186942881,snapped,pdf
444,Francistown,Botswana,Africa,Francistown City Center,-21.115322,27.536728,1032.0,1059.0,-21.1167,27.5333,"unnamed building, 3,738 m²",388,3738,,way/90940573,snapped,pdf
445,Gaborone,Botswana,Africa,Bank of Botswana,-24.655954,25.911013,1012.0,1039.0,-24.6555,25.9105,Bank of Botswana (bank),72,2969,,way/93257784,snapped,handpicked
446,Gweru,Zimbabwe,Africa,Gweru City Center,-19.450271,29.816317,1414.0,1441.0,-19.45,29.8167,"unnamed building, 1,970 m²",50,1970,,way/494086865,snapped,pdf
447,Harare,Zimbabwe,Africa,"National Railways Of Zimbabwe, Harare Train Station",-17.834957,31.051675,1473.0,1500.0,-17.8333,31.05,"National Railways Of Zimbabwe, Harare Train Station (train station)",256,1800,yes,way/245290279,snapped,pdf
448,Jinja,Uganda,Africa,Jinja City Center,0.451966,33.235853,1155.0,1182.0,0.45,33.2333,"unnamed building, 7,413 m²",359,7413,,way/881061824,snapped,pdf
449,Kampala,Uganda,Africa,Kampala Hospital,0.332685,32.584694,1189.0,1216.0,0.3333,32.5833,Kampala Hospital (hospital),170,2399,yes,way/148065485,snapped,pdf
450,Kaolack,Senegal,Africa,Grand Marché,14.149328,-16.078097,7.0,34.0,14.1475,-16.0755,"unnamed building, 605 m²",346,605,,way/1177900008,snapped,handpicked
451,Keetmanshoop,Namibia,Africa,Keetmanshoop City Center,-26.600080,18.133599,949.0,976.0,-26.6,18.1333,"unnamed building, 1,052 m²",31,1052,,way/421511457,snapped,pdf
452,Kénitra,Morocco,Africa,Hôtel de Ville de Kénitra,34.262399,-6.582511,12.0,39.0,34.261,-6.5802,Hôtel de Ville de Kénitra (townhall),264,2067,yes,way/331932604,snapped,pdf
453,Kisumu,Kenya,Africa,Sikh Union Club,-0.099728,34.760995,1178.0,1205.0,-0.1025,34.7610,Sikh Union Club (community centre),309,1735,yes,way/319947729,snapped,handpicked
454,Kitwe,Zambia,Africa,ECL Mall,-12.808702,28.212170,1216.0,1243.0,-12.8100,28.2130,ECL Mall (building),170,30048,,way/1014166023,snapped,handpicked
455,Kumasi,Ghana,Africa,Kumasi City Center,6.688833,-1.621906,278.0,305.0,6.6885,-1.6244,"unnamed building, 4,455 m²",278,4455,,way/503339103,snapped,pdf
456,Lusaka,Zambia,Africa,East Park Mall,-15.390899,28.322033,1255.0,1282.0,-15.3875,28.3228,East Park Mall (retail),387,50736,,way/614461977,snapped,pdf
457,Marrakesh,Morocco,Africa,Bab Doukkala,31.633988,-7.999008,460.0,487.0,31.6342,-7.9999,Bab Doukkala (city gate),88,373,yes,way/126153361,snapped,pdf
458,Mbale,Uganda,Africa,Mbale City Center,1.0667,34.2,1165.0,1192.0,1.0667,34.2,"unnamed building, 396 m²",0,396,,way/391146253,kept,pdf
459,Meknes,Morocco,Africa,Tribunal de deuxième instance محكمة الإستئناف,33.896445,-5.549403,530.0,557.0,33.8935,-5.5473,Tribunal de deuxième instance محكمة الإستئناف (courthouse),381,3777,yes,way/307429699,snapped,pdf
460,Mombasa,Kenya,Africa,Jesus Celebration Centre - Buxton,-4.042668,39.666736,26.0,53.0,-4.0435,39.6682,Jesus Celebration Centre - Buxton (place of worship),187,2494,yes,way/634787401,snapped,pdf
461,Mwanza,Tanzania,Africa,Mwanza City Center,-2.516328,32.933001,1279.0,1306.0,-2.5167,32.9333,"unnamed building, 452 m²",53,452,,way/874055576,snapped,pdf
462,Nairobi,Kenya,Africa,Holy Family Basilica,-1.287210,36.820685,1671.0,1698.0,-1.2864,36.8172,Holy Family Basilica (church),398,2148,yes,way/101814681,snapped,pdf
463,Nakuru,Kenya,Africa,Nakuru City Center,-0.269908,36.066605,1925.0,1952.0,-0.2667,36.0667,"unnamed building, 947 m²",357,947,,way/376290282,snapped,pdf
464,Ndola,Zambia,Africa,Ndola City Center,-13.001962,28.650546,1266.0,1293.0,-13.0,28.65,"unnamed building, 1,783 m²",226,1783,,way/580219459,snapped,pdf
465,Oran,Algeria,Africa,Direction régional CNAS Ouest,35.695619,-0.630497,116.0,143.0,35.6973,-0.6336,Direction régional CNAS Ouest (public),337,4927,yes,way/335444279,snapped,handpicked
466,Oujda,Morocco,Africa,Souk Sidi Abdelwahab,34.681074,-1.909692,550.0,577.0,34.6814,-1.9086,Souk Sidi Abdelwahab (commercial),106,10095,yes,way/293305514,snapped,pdf
467,Port Louis,Mauritius,Africa,Port Louis City Center,-20.169226,57.501739,18.0,45.0,-20.1667,57.5,"unnamed hospital, 7,809 m²",335,7809,yes,way/744301089,snapped,pdf
468,Rabat,Morocco,Africa,Marché central,34.022445,-6.838759,18.0,45.0,34.0209,-6.8416,Marché central (marketplace),314,3608,yes,way/687030169,snapped,pdf
469,Safi,Morocco,Africa,دائرة الأملاك المخزنية آسفي,32.296232,-9.235805,56.0,83.0,32.2994,-9.2372,دائرة الأملاك المخزنية آسفي (public),376,1105,yes,way/122266681,snapped,pdf
470,Saint-Louis,Senegal,Africa,Grande Mosquée des HLM,16.014771,-16.497412,7.0,34.0,16.0167,-16.5,Grande Mosquée des HLM (mosque),350,1025,yes,way/181382456,snapped,pdf
471,Zanzibar City,Tanzania,Africa,House of Wonders,-6.160911,39.189622,10.0,37.0,-6.1630,39.1905,House of Wonders (public),252,2720,yes,way/122950850,snapped,handpicked
472,Sétif,Algeria,Africa,Sétif City Center,36.1833,5.4,1046.0,1073.0,36.1833,5.4,Boun.ilot 20-1 (building),0,2337,,way/667050358,kept,pdf
473,Sidi Bel Abbès,Algeria,Africa,City centre,35.192675,-0.635813,475.0,502.0,35.1935,-0.6390,"unnamed public, 3,357 m²",304,3357,yes,way/227145623,snapped,handpicked
474,Tamale,Ghana,Africa,Tamale City Center,9.433418,-0.817323,137.0,164.0,9.4333,-0.8167,"unnamed building, 875 m²",70,875,,way/1392710306,snapped,pdf
475,Tangier,Morocco,Africa,مسجد السوريين Mosquée Souriyine,35.769498,-5.800764,9.0,36.0,35.7673,-5.7998,مسجد السوريين Mosquée Souriyine (place of worship),260,1040,yes,way/451623561,snapped,pdf
476,Tetouan,Morocco,Africa,Tetouan City Center,35.588780,-5.359174,95.0,122.0,35.5889,-5.3626,"unnamed building, 1,036 m²",310,1036,,way/1223979500,snapped,pdf
477,Thies,Senegal,Africa,City centre,14.792442,-16.927561,72.0,99.0,14.7910,-16.9260,"unnamed public, 709 m²",232,709,yes,way/197723183,snapped,handpicked
478,Tlemcen,Algeria,Africa,Actel Imama Algérie Télécom,34.882643,-1.348728,756.0,783.0,34.8833,-1.35,Actel Imama Algérie Télécom (building),137,4542,,way/410325337,snapped,pdf
479,Windhoek,Namibia,Africa,KFBMI Church,-22.558875,17.068302,1672.0,1699.0,-22.5609,17.0658,KFBMI Church (church),342,571,yes,way/905799784,snapped,pdf
480,Ziguinchor,Senegal,Africa,Cathédrale Saint-Antoine-de-Padoue,12.583217,-16.272250,11.0,38.0,12.5820,-16.2730,Cathédrale Saint-Antoine-de-Padoue (place of worship),158,985,yes,way/202565631,snapped,handpicked
481,Levin,New Zealand,Oceania,Levin City Center,-40.6223,175.2867,36.0,63.0,-40.6223,175.2867,Post Shop (post office),0,540,,way/545253243,kept,pdf
482,Paraparaumu,New Zealand,Oceania,Paraparaumu City Center,-40.916152,175.014070,28.0,55.0,-40.9167,175.0167,"unnamed building, 1,411 m²",229,1411,,way/392575175,snapped,pdf
483,Oamaru,New Zealand,Oceania,Woolworths,-45.097183,170.970498,14.0,41.0,-45.0976,170.9704,Woolworths (building),47,3302,,way/154609241,snapped,pdf
484,Gore,New Zealand,Oceania,Gore City Center,-46.102581,168.941465,76.0,103.0,-46.1028,168.9436,"unnamed civic, 2,109 m²",167,2109,yes,way/383202661,snapped,pdf
485,Feilding,New Zealand,Oceania,Manawatu District Council,-40.223195,175.562538,75.0,102.0,-40.2258,175.5656,Manawatu District Council (townhall),390,2235,yes,way/180766739,snapped,pdf
486,Tokoroa,New Zealand,Oceania,Saint Francis Anglican,-38.223177,175.871035,339.0,366.0,-38.2248,175.8708,Saint Francis Anglican (place of worship),182,572,yes,way/297522296,snapped,pdf
487,Cambridge,New Zealand,Oceania,Town Hall,-37.892033,175.468093,79.0,106.0,-37.8918,175.4691,Town Hall (community centre),92,1123,yes,way/562991235,snapped,pdf
488,Te Awamutu,New Zealand,Oceania,Te Awamutu City Center,-38.0095,175.3252,60.0,87.0,-38.0095,175.3252,"unnamed building, 617 m²",0,617,,way/344701745,kept,pdf
489,Pukekohe,New Zealand,Oceania,Farmers,-37.201485,174.902642,73.0,100.0,-37.2012,174.9031,Farmers (retail),52,7972,,way/207117127,snapped,pdf
490,Kerikeri,New Zealand,Oceania,Kerikeri City Center,-35.228,173.947,76.0,103.0,-35.228,173.947,"unnamed building, 780 m²",0,780,,way/366243785,kept,pdf
491,Suva,Fiji,Oceania,Suva City Center,-18.141089,178.441811,60.0,87.0,-18.1416,178.4419,"unnamed building, 2,246 m²",58,2246,,way/1130698392,snapped,pdf
492,Port Moresby,Papua New Guinea,Oceania,Aopi Building,-9.443340,147.181684,71.0,98.0,-9.4438,147.1803,Aopi Building (public),160,4988,yes,way/945700276,snapped,pdf
493,Lae,Papua New Guinea,Oceania,Cassowary Road United Church,-6.718104,147.001030,22.0,49.0,-6.7155,146.9999,Cassowary Road United Church (place of worship),316,988,yes,way/792230780,snapped,pdf
494,Apia,Samoa,Oceania,Marist Brothers Community Hall,-13.832856,-171.767571,7.0,34.0,-13.8333,-171.7667,Marist Brothers Community Hall (community centre),106,2715,yes,way/187130683,snapped,pdf
495,Nuku'alofa,Tonga,Oceania,Queen Salote Memorial Hall,-21.138310,-175.203767,7.0,34.0,-21.1394,-175.2049,Queen Salote Memorial Hall (sports centre),169,2943,,way/311720748,snapped,pdf
496,Port Vila,Vanuatu,Oceania,Trade Tools,-17.733318,168.327841,38.0,65.0,-17.7333,168.3273,Trade Tools (building),57,2023,,way/1283045809,snapped,pdf
497,Honiara,Solomon Islands,Oceania,Honiara City Center,-9.430513,159.949412,4.0,31.0,-9.4333,159.95,"unnamed building, 6,287 m²",317,6287,,way/631329726,snapped,pdf
498,Nouméa,New Caledonia,Oceania,Géant Casino,-22.275233,166.458648,6.0,33.0,-22.2758,166.458,Géant Casino (retail),92,10552,,way/38224515,snapped,pdf
499,Majuro,Marshall Islands,Oceania,K&K Supermarket,7.088097,171.378772,9.0,36.0,7.0900,171.3800,K&K Supermarket (building),252,4214,,way/142843348,snapped,handpicked
500,Koror,Palau,Oceania,Palasia Hotel,7.343411,134.480390,21.0,48.0,7.3419,134.4792,Palasia Hotel (hotel),213,2988,,way/267048282,snapped,pdf
